سوال,پاسخ
دانشجوی مهمان چقدر شهریه پرداخت می‌کند؟,دانشجویان متقاضی مهمانی از دانشگاه‌های دیگر، در دوران مهمانی ملزم به پرداخت شهریه مطابق تعرفه دانشجویان نوبت دوم هستند، چون پذیرش دانشجویان دوره روزانه آزاد در این دانشگاه ممنوع است.
مهمانی به کدام مؤسسات ممنوع است؟,مهمانی به مراکز و مؤسسات غیردولتی، دانشگاه آزاد، پیام‌نور و مراکز علمی کاربردی و فنی و حرفه‌ای ممنوع است.
حداکثر واحد قابل اخذ برای دانشجوی مهمان در هر نیمسال چقدر است؟,حداکثر واحد قابل اخذ برای دانشجوی مهمان در نیمسال عادی ۲۰ واحد و در بازه تابستان ۶ واحد است. همچنین اخذ درس با تداخل زمانی کلاس مجاز نیست.
استاد مشاور آموزشی چه وظیفه‌ای دارد؟,استاد مشاور آموزشی موظف است دانشجویان را در انتخاب واحدهای درسی راهنمایی کند، اولویت دروس پیش‌نیاز را برای دانشجویان مشخص کند و هر هفته حداقل ۲ ساعت را در برنامه هفتگی خود به دانشجویان تحت راهنمایی اختصاص دهد.
استاد مشاور برای هر دانشجو چگونه تعیین می‌شود؟,قبل از پذیرش و ثبت‌نام، دانشکده موظف است یکی از اعضای هیأت علمی تمام‌وقت خود را (ترجیحاً با حداقل دو سال سابقه تدریس در مقطع کارشناسی)، با پیشنهاد گروه آموزشی و تصویب شورای دانشکده، حداکثر تا دو ماه پس از شروع تحصیل دانشجویان، به عنوان مشاور آموزشی تعیین کند.
دانشجوی منصرف یا محروم از تحصیل کارشناسی چگونه می‌تواند مدرک کاردانی بگیرد؟,اگر دانشجوی منصرف یا محروم از تحصیل در دوره کارشناسی پیوسته حداقل ۶۸ واحد درسی را با نمره قبولی گذرانده باشد و میانگین کل او ۱۲ یا بالاتر باشد، می‌تواند مدرک کاردانی همان رشته را دریافت کند.
ملاک دانش‌آموختگی (فارغ‌التحصیلی) چیست؟,ملاک دانش‌آموختگی برای دوره‌های کاردانی و کارشناسی، گذراندن کلیه واحدهای دوره و داشتن میانگین کل حداقل ۱۲ در پایان دوره است.
اگر معدل کل دانشجو بعد از اتمام دروس کمتر از ۱۲ باشد چه راهی برای ترمیم آن وجود دارد؟,برای ورودی ۱۴۰۲ و بعد از آن، فقط یک نیمسال فرصت داده می‌شود تا با انتخاب حداکثر ۱۶ واحد از دروسی که نمره بین ۱۰ تا ۱۲ گرفته، میانگین کل خود را به حداقل ۱۲ برساند. در غیر این صورت از ادامه تحصیل محروم می‌شود. برای ورودی ۱۴۰۱ و قبل از آن، حداکثر ۲۰ واحد از این دروس قابل اخذ است.
تاریخ دانش‌آموختگی چه زمانی محاسبه می‌شود؟,تاریخ دانش‌آموختگی، زمان ثبت آخرین نمره دانشجو در سامانه جامع آموزش دانشگاه است و آموزش کل دانشگاه مرجع بررسی و تأیید این تاریخ خواهد بود.
چگونه می‌توانم درخواست فارغ‌التحصیلی بدهم؟,درخواست فارغ‌التحصیلی از مسیر «پیش‌خوان خدمت / فارغ‌التحصیل / ثبت درخواست جدید» در سامانه جامع آموزشی دانشگاه ثبت می‌شود.
شرایط ثبت درخواست فارغ‌التحصیلی چیست؟,دانشجو باید: نمره کلیه دروس ثبت و قفل شده داشته باشد، مدارک پرونده‌اش کامل باشد، به سیستم آموزشی بدهی نداشته باشد، در سیستم تعهد مالی ثبت نشده باشد، و مشکلی در قوانین تطبیق دروس نداشته باشد.
در صورت مفقود شدن کارت دانشجویی چه باید کرد؟,در صورت مفقود شدن کارت دانشجویی، دانشجو باید با مراجعه به آموزش کل دانشگاه نسبت به درخواست صدور کارت المثنی اقدام کند.
چه مدارک تحصیلی از سامانه جامع آموزشی قابل دریافت است؟,مدارک قابل دریافت شامل تقاضای گواهی موقت پایان تحصیلات (برای فارغ‌التحصیلان فاقد تعهد)، تقاضای دانشنامه و ریزنمرات (فارغ‌التحصیلان فاقد تعهد)، و تقاضای تأییدیه تحصیلی و ریزنمرات (فارغ‌التحصیلان متعهد خدمت) است.
حداقل نمره قبولی چند است؟,حداقل نمره قبولی در هر درس ۱۰ از ۲۰ است. علاوه بر این، حداقل میانگین کل قابل قبول در هر نیمسال ۱۲ است؛ در غیر این صورت آن نیمسال مشروط تلقی می‌شود.
مهلت اعتراض به نمره چقدر است؟,مهلت اعتراض به نمره توسط دانشجو، ۴۸ ساعت از زمان اعلام نمره در سامانه جامع آموزشی است. این مهلت به صلاحدید استاد درس تا حداکثر ۱۰ روز قابل افزایش است.
مهلت اعلام نمرات امتحان هر درس چقدر است؟,حداکثر مهلت ثبت نمرات دروس کاردانی و کارشناسی، ۱۰ روز پس از زمان برگزاری آزمون است. مهلت ثبت نمره دروس کارآموزی و پروژه کارشناسی از این قاعده جداست و طبق تاریخ‌های مشخص‌شده (۱۵ اسفند برای نیمسال اول و ۳۱ شهریور برای نیمسال دوم) عمل می‌شود.
چگونه برای مهمان شدن به دانشگاه دیگر اقدام کنم؟,دانشجو می‌تواند جهت ثبت مهمانی، در سامانه جامع آموزش دانشگاه از مسیر «پیش‌خوان خدمت / ثبت درخواست مهمانی / درخواست جدید» اقدام کند. البته پیش از ثبت درخواست باید از ارائه درس و پذیرش در دانشگاه مقصد اطمینان حاصل شود، و بعد از تأیید، برای دریافت معرفی‌نامه باید به اداره آموزش کل دانشگاه مراجعه شود.
بعد از انصراف از تحصیل، آیا امکان بازگشت به تحصیل وجود دارد؟,تصمیم‌گیری درباره بازگشت به تحصیل دانشجوی منصرف، در محدوده سنوات مجاز تحصیلی و به شرط امکان اتمام واحدهای باقیمانده، صرفاً بر عهده شورای آموزشی دانشگاه است. درخواست باید به همراه مدارک توجیه موجه از مسیر «پیش‌خوان خدمت / درخواست بررسی مشکلات آموزشی / درخواست تبدیل وضعیت آموزشی» ثبت شود.
برای خروج از کشور دانشجوی متعهد خدمت چه فرآیندی باید طی شود؟,دانشجوی متقاضی خروج از کشور باید ابتدا در سامانه خدمات الکترونیک انتظامی (سخا) درخواست خود را ثبت و کد رهگیری دریافت کند، سپس در سامانه جامع آموزش دانشگاه از مسیر «پیش‌خوان خدمت / درخواست بررسی مشکلات آموزشی / امور نظام وظیفه / درخواست جدید» اقدام نماید.
اگر استاد نمرات را در موعد مقرر ثبت نکند چه اتفاقی می‌افتد؟,اگر مدرس در زمان مقرر نمرات را ثبت نکند، درج نمرات به‌صورت خودکار قفل می‌شود. اعضای هیأت علمی که نمرات را ثبت نکنند، ابتدا اخطار شفاهی و سپس اخطار کتبی دریافت می‌کنند و در صورت تکرار بیش از دو بار، اعطای ترفیع به آن‌ها در آن سال متوقف می‌شود.
آیا امکان تکرار یک درس فقط برای بالا بردن نمره وجود دارد؟,بله، دانشگاه می‌تواند به درخواست کتبی دانشجو برای بالا بردن نمره یک درس قبولی‌شده موافقت کند. در این حالت نمره جدید در ریزنمرات ثبت می‌شود، اما نمره قبلی نیز در محاسبه میانگین کل دوره اثر می‌گذارد.
دروس صلاحیت معلمی کارگاهی را می‌توان در جای دیگری غیر از دانشگاه گذراند؟,بله، دانشجو می‌تواند دروس صلاحیت معلمی کارگاهی با عنوان «کارگاه آموزش در رشته تخصصی» را در یکی از مراکز فنی و حرفه‌ای یا مجتمع‌های فنی مورد تأیید گروه آموزشی بگذراند، به شرط دریافت معرفی‌نامه مانند دانشجویان مهمان و تأیید نمره توسط گروه آموزشی.
اگر درس صلاحیت معلمی در لیست دروس ارائه‌شده نباشد، آیا نیمسال حذف می‌شود؟,خیر، عدم وجود درس صلاحیت معلمی در لیست دروس موجب حذف ترم نمی‌شود، اما توصیه می‌شود دانشجو در هر نیمسال حداقل یک درس صلاحیت معلمی در لیست دروس خود داشته باشد، مگر اینکه همه این دروس را قبلاً گذرانده باشد.
اگر دانشجو در دوران مهمانی درس دیگری غیر از دروس معرفی‌نامه اخذ کند چه می‌شود؟,دانشجو موظف است منحصراً دروس مشخص‌شده در معرفی‌نامه را اخذ کند. در صورت هرگونه تغییر در عنوان یا تعداد واحد، باید معرفی‌نامه اصلاح‌شده دریافت کند؛ در غیر این صورت نمرات دریافتی فاقد اعتبار خواهند بود.
آیا شهریه پرداختی در صورت انصراف یا حذف درس قابل بازگشت است؟,به‌جز مواردی مانند حذف درس به‌دلیل نرسیدن کلاس به حدنصاب یا حذف اضطراری، در سایر موارد (انصراف، عدم مراجعه و غیره) شهریه واریزی قابل برگشت نیست.
چه مدارک پزشکی برای درخواست حذف پزشکی لازم است؟,مدارک لازم شامل گواهی استعلاجی پزشک معالج (با درج نام بیمار، تاریخ، سربرگ مرکز درمانی و مدت مرخصی استعلاجی)، مدارک تشخیصی (آزمایش، رادیولوژی، سی‌تی‌اسکن، MRI و غیره)، و در صورت بستری بودن، خلاصه پرونده بیمارستانی است. اصل گواهی الزامی است و تصویر آن پذیرفته نمی‌شود.
اگر دانشجو در جلسه امتحان حاضر شود اما در میانه امتحان بیمار شود چه باید بکند؟,اگر دانشجو در جلسه امتحان حضور یابد ولی قبل از اتمام آن به دلیل بیماری قادر به ادامه نباشد، باید پیش از پایان زمان امتحان و با همراهی مراقبین جلسه، به درمانگاه دانشگاه ارجاع داده شود تا توسط پزشک معتمد دانشگاه بررسی شود.
اگر دانشجو به دلیل غیرپزشکی موجه نتواند در امتحان پایان‌ترم شرکت کند چه باید بکند؟,دانشجو باید حداکثر ۱۵ روز پس از آخرین امتحان، دلایل و مدارک خود را برای طرح در کمیته منتخب شورای آموزشی دانشگاه ارسال کند. مدارکی که پس از این ۱۵ روز ارائه شود، ترتیب اثر داده نخواهد شد.
آیا دانشجوی مشروط می‌تواند در نیمسال بعد بیشتر از حد معمول واحد بردارد؟,خیر، برعکس؛ سقف واحد قابل اخذ برای دانشجوی مشروط کاهش می‌یابد: ۱۴ واحد برای ورودی ۱۴۰۱ و قبل، و ۱۶ واحد برای ورودی ۱۴۰۲ و بعد از آن (به‌جای سقف عادی ۲۰ واحد).
آیا امکان اخذ بیش از ۵ واحد درس صلاحیت معلمی در یک نیمسال وجود دارد؟,بله، دانشجو می‌تواند بیش از ۵ واحد صلاحیت معلمی اخذ کند، به شرطی که به همان میزان از واحدهای رشته کم کند تا مجموع واحدها از سقف مجاز آن نیمسال بالاتر نرود.
دانشجویی که ۶۸ واحد را گذرانده و منصرف شده، اگر بیشتر از ۶۸ واحد گذرانده باشد چه اتفاقی می‌افتد؟,اگر دانشجو بیش از ۶۸ واحد گذرانده باشد، دانشگاه دروسی را ملاک قرار می‌دهد که میانگین آن‌ها برای صدور مدرک کاردانی ۱۲ یا بالاتر باشد؛ یعنی نمرات دروس اضافی نیز در محاسبه این میانگین می‌توانند تأثیر مثبت داشته باشند.
مدرک کاردانی بین‌مقطعی چه محدودیتی در عنوان رشته دارد؟,در رشته‌های فنی و مهندسی، واژه «مهندسی» از عنوان رشته برای دریافت‌کنندگان مدرک کاردانی بین‌مقطعی حذف می‌شود، مگر در مواردی که کلمه «مهندسی» از ارکان اصلی نام رشته باشد (مانند مهندسی پزشکی).
گواهی صلاحیت معلمی بر چه اساسی درجه‌بندی می‌شود؟,بر اساس معدل دروس صلاحیت معلمی در گواهی پایان تحصیل: معدل ۱۸ تا ۲۰ خیلی خوب، ۱۶ تا ۱۷.۹۹ خوب، ۱۴ تا ۱۵.۹۹ متوسط، ۱۳.۵ تا ۱۳.۹۹ قابل قبول، و ۱۲ تا ۱۳.۴۹ ضعیف درج می‌شود.
دریافت اصل مدرک دیپلم برای چه کاری لازم است و چگونه درخواست می‌شود؟,درخواست اصل مدرک دیپلم و پیش‌دانشگاهی از مدرسه محل تحصیل، نیاز به معرفی‌نامه دانشگاه دارد. دانشجو باید از مسیر «پیش‌خوان خدمت / درخواست بررسی مشکلات آموزشی / درخواست اصل مدرک دیپلم و پیش‌دانشگاهی» در سامانه جامع آموزش اقدام کند.
گواهی اشتغال به تحصیل چه کاربردی دارد و چگونه دریافت می‌شود؟,گواهی اشتغال به تحصیل صرفاً برای استفاده از امکانات رفاهی نیست، بلکه شرط ادامه تحصیل دانشجوی متعهد خدمت نیز است. دانشجو باید در آغاز هر نیمسال از مسیر «پیش‌خوان خدمت / گواهی اشتغال به تحصیل / درخواست جدید» اقدام کند.
استرداد شهریه دانشجویان بستانکار چگونه انجام می‌شود؟,دانشجویان بستانکار می‌توانند از مسیر «پیش‌خوان خدمت / درخواست جدید / درخواست استرداد شهریه» در سامانه جامع آموزش دانشگاه نسبت به استرداد مبلغ بستانکاری اقدام کنند.
اگر درسی به دلیل نرسیدن به حدنصاب حذف شود، شهریه چه زمانی بازگردانده می‌شود؟,اگر درسی به علت نرسیدن به حد نصاب لازم حذف شود، شهریه پرداختی پس از طی مراحل اداری و حداقل تا دو ماه بعد عودت داده می‌شود.
جابجایی زمان یا مکان برگزاری کلاس چگونه امکان‌پذیر است؟,جابجایی زمان و مکان تشکیل کلاس‌ها فقط با اخذ مجوز از مدیریت برنامه‌ریزی و سنجش آموزشی و هماهنگی با مسئول آموزش دانشکده امکان‌پذیر است.
اگر استاد درس در طول نیمسال کلاس را رها کند چه اتفاقی می‌افتد؟,اگر استاد به دلایلی مانند فوت، سفر خارج از کشور یا قطع همکاری، کلاس درس را در بین نیمسال رها کند، رئیس دانشکده باید موضوع را به مدیر برنامه‌ریزی آموزشی اطلاع داده و بر اساس نظر شورای گروه آموزشی، استاد جایگزین معرفی شود.
آیا دانشجوی متعهد خدمت با تأهل امکان مهمانی ویژه‌ای دارد؟,دانشجویان متعهد خدمت مقطع کارشناسی می‌توانند در بازه تابستان به‌صورت تک‌درس درخواست مهمانی برای دروس صلاحیت معلمی ثبت کنند. دانشجویان متأهل علاوه بر این، فقط یک‌بار می‌توانند درخواست مهمانی کامل ترم (دو نیمسال) را ثبت کنند.
آیا دانشجویی که در آخرین نیمسال خود دانش‌آموخته می‌شود از قوانین ترم‌بندی معاف است؟,بله، دانشجویی که در آخرین نیمسال تحصیلی خود با رعایت مقررات منجر به دانش‌آموختگی می‌شود، از رعایت ماده مربوط به جدول ترم‌بندی معاف است.
نمرات درسی که دانشجو در بازه تابستان می‌گذراند در محاسبات چگونه لحاظ می‌شود؟,بازه تابستان یک نیمسال تحصیلی محسوب می‌شود، اما نمرات آن تنها در محاسبه میانگین کل دانشجو منظور می‌شود و ضوابط مشروطی درباره آن صدق نمی‌کند.
اگر دانشجو به دلایل خارج از اختیار خود کمتر از ۱۲ واحد در یک نیمسال بردارد، آیا مشروط می‌شود؟,خیر، اگر کسر واحدها خارج از اراده دانشجو باشد، نمرات آن نیمسال مانند دروس بازه تابستانی فقط در میانگین کل محاسبه می‌شود و حتی اگر میانگین کمتر از ۱۲ باشد، آن نیمسال جزو مشروطی محسوب نمی‌شود؛ اما همچنان جزو سنوات تحصیلی به حساب می‌آید.
درخواست تمدید مهلت ثبت نمره توسط استاد چگونه انجام می‌شود؟,اگر مدرس در زمان مقرر نمرات را ثبت نکند، با تأیید معاون آموزشی دانشکده و از طریق پردازش مربوط، امکان تمدید مهلت ثبت نمره با توجه به نوع درس وجود دارد.
چه کسی مسئول نظارت بر ثبت به‌موقع نمرات دروس در هر دانشکده است؟,معاونان آموزشی دانشکده باید شخصاً ثبت به‌موقع نمرات همه دروس ارائه‌شده در هر نیمسال را کنترل و بر وضعیت ثبت و قفل نمرات نظارت کنند.
